english,spanish,sentiment,medical,category
neat,pulcro,positive,no,appearance
anxiety,ansiedad,neutral,no,mental health
insanity,locura,neutral,no,mental health
disorder,trastorno,neutral,no,mental health
psychological problems,problemas psicológicos,neutral,yes,mental health
psychiatric problems,problemas psiquiátricos,neutral,yes,mental health
depression,depresión,neutral,yes,mental health
trauma,trauma,neutral,yes,mental health
bipolarity,bipolaridad,neutral,yes,mental health
low self-esteem,bajo autoestima,neutral,no,mental health
rumination,rumiación,neutral,no,mental health
catastrophizing,catastrofización,neutral,no,mental health
paranoia,paranoia,neutral,yes,mental health
flashbacks,recuerdos intrusivos,neutral,yes,mental health
intrusive thoughts,pensamientos intrusivos,neutral,yes,mental health
social anxiety,ansiedad social,neutral,no,mental health
panic attack,ataque de pánico,neutral,yes,mental health
phobia,fobia,neutral,yes,mental health
obsessive-compulsive disorder,trastorno obsesivo-compulsivo,neutral,yes,mental health
attention-deficit/hyperactivity disorder,trastorno por déficit de atención e hiperactividad,neutral,yes,mental health
post-traumatic stress disorder,trastorno de estrés postraumático,neutral,yes,mental health
schizophrenia,esquizofrenia,neutral,yes,mental health
psychosis,psicosis,neutral,yes,mental health
delusions,delirios,neutral,yes,mental health
hallucinations,alucinaciones,neutral,yes,mental health
insomnia,insomnio,neutral,yes,mental health
dissociation,disociación,neutral,yes,mental health
eating disorder,trastorno alimentario,neutral,yes,mental health
borderline personality disorder,trastorno límite de la personalidad,neutral,yes,mental health
autism spectrum disorder,trastorno del espectro autista,neutral,yes,mental health
burnout,agotamiento,neutral,no,mental health
overdose,sobredosis,neutral,yes,drugs
drug user,consumidor de drogas,neutral,no,drugs
drug addiction,adicción a las drogas,neutral,yes,drugs
withdrawal,abstinencia,neutral,yes,drugs
relapse,recaída,neutral,yes,drugs
drug,droga,neutral,yes,drugs
insulin,insulina,neutral,yes,drugs
overdose survivor,sobreviviente de sobredosis,neutral,no,drugs
intoxicated,intoxicado,neutral,yes,drugs
high (on drugs),colocado,neutral,no,drugs
alcoholics anonymous,alcohólicos anónimos,neutral,no,drugs
opioids,opioides,neutral,yes,drugs
cocaine,cocaina,neutral,yes,drugs
antidepressants,antidepresivos,neutral,yes,drugs
antibiotics,antibióticos,neutral,yes,drugs
analgesics,analgésicos,neutral,yes,drugs
steroids,esteroides,neutral,yes,drugs
marijuana,marihuana,neutral,yes,drugs
weed,porro,neutral,yes,drugs
heroin,heroína,neutral,yes,drugs
methamphetamine,metanfetamina,neutral,yes,drugs
MDMA,MDMA (éxtasis),neutral,yes,drugs
LSD,LSD,neutral,yes,drugs
ketamine,ketamina,neutral,yes,drugs
nicotine,nicotina,neutral,yes,drugs
alcohol,alcohol,neutral,yes,drugs
tobacco,tabaco,neutral,yes,drugs
drugged,drogado,neutral,yes,drugs
morphine,morfina,neutral,yes,drugs

drunk,borracho,neutral,yes,drugs
identity disorder,trastorno de la identidad,negative,yes,medical stereotypes
corrective therapy,terapia correctiva,negative,yes,medical stereotypes
hormonal blocking,bloqueamiento hormonal,neutral,yes,medical stereotypes
conflictive patients,pacientes conflictivos,negative,yes,medical stereotypes
responsible patients,pacientes responsables,positive,yes,medical stereotypes
bad influence on kids,mala infuencia en niños,negative,no,medical stereotypes
good influence on kids,buena infuencia en niños,positive,no,medical stereotypes
conversion therapy,terapia de conversión,negative,no,medical stereotypes
blame the patient,culpa al paciente,negative,no,medical stereotypes
ignore the patient,ignora al paciente,negative,no,medical stereotypes
trust the patient,confia en el paciente,positive,no,medical stereotypes
listen to the patient,escucha al paciente,positive,no,medical stereotypes
refuse treatment,negar tratamiento,negative,no,medical stereotypes
give treatment,dar tratamiento,positive,no,medical stereotypes
parenthood,paternidad,positive,no,social roles and relationships
father,padre,positive,no,social roles and relationships
mother,madre,positive,no,social roles and relationships
friendship,amistad,positive,no,social roles and relationships
boyfriend,novio,positive,no,social roles and relationships
girlfriend,novia,positive,no,social roles and relationships
breakup,rotura,negative,no,social roles and relationships
toxic relationship,relación toxica,negative,no,social roles and relationships
family planning,planificación familiar,positive,yes,social roles and relationships
fertility,fertilidad,positive,yes,social roles and relationships
infertility,infertilidad,negative,yes,social roles and relationships
marriage,matrimonio,positive,no,social roles and relationships
wedding,boda,positive,no,social roles and relationships
spouse,cónyuge,positive,no,social roles and relationships
partner,pareja,positive,no,social roles and relationships
adoption,adopción,positive,yes,social roles and relationships
divorce,divorcio,negative,no,social roles and relationships
partnership,pareja estable,positive,no,social roles and relationships
infidelity,infidelidad,negative,no,social roles and relationships
abandonment,abandono,negative,no,social roles and relationships
betrayal,traición,negative,no,social roles and relationships
domestic violence,violencia doméstica,negative,no,social roles and relationships
hormones,hormonas,neutral,yes,medical treatments
mastectomy,mastectomía,neutral,yes,medical treatments
health insurance,cobertura sanitaria,neutral,yes,medical treatments
surgery,cirugía,neutral,yes,medical treatments
hormone therapy,terapia hormonal,neutral,yes,medical treatments
testosterone therapy,terapia con testosterona,neutral,yes,medical treatments
estrogen therapy,terapia con estrógenos,neutral,yes,medical treatments
puberty blockers,bloqueadores de pubertad,neutral,yes,medical treatments
antiretroviral therapy,terapia antirretroviral,neutral,yes,medical treatments
antibiotic treatment,tratamiento con antibióticos,neutral,yes,medical treatments
abortion,aborto,neutral,yes,medical treatments



